,,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
16118,19860730,-0.44,0.66,1,0.42,0.7,0.11,0.61,0.16,0.67,0.64
16119,19860731,-0.13,-0.15,-0.1,-0.17,-0.46,0.01,0.16,0.23,-0.22,-0.15
16120,19860801,-0.02,-0.53,-0.59,-0.49,-0.6,-0.24,-0.41,-0.04,-0.58,-0.41
16121,19860804,0.46,1.1,1.13,0.36,0.66,-0.27,-0.3,0.08,-0.05,-0.28
16122,19860805,1.87,1.45,1.49,0.08,0.88,0,0.08,-0.3,-0.26,-0.11
16123,19860806,0.3,-0.02,-0.16,0.33,0.02,0.04,-0.22,-0.2,-0.32,-0.41
16124,19860807,0.39,0.36,0.48,0.56,-0.08,0.38,0.21,0.28,0.15,0.24
16125,19860808,0.74,0.17,0.21,-0.13,0.13,0.13,0.06,0.06,-0.01,-0.15
16126,19860811,1.61,1.05,1.16,1.43,1.57,1.27,1.46,1.37,1.66,2.04
16127,19860812,0.53,1.14,1.18,1.24,1.11,1,1.23,1.08,0.92,1.27
16128,19860813,-0.02,0.89,0.78,0.94,0.69,0.99,0.98,1.15,1.05,1.16
16129,19860814,0.08,0.47,0.35,0.38,0.24,0.47,0.37,0.64,0.37,0.19
16130,19860815,1.58,1.59,-0.05,0.49,0.35,0.04,0.13,0.23,0.23,-0.14
16131,19860818,-0.8,-0.45,-0.07,0.31,0.31,0.2,-0.05,-0.01,0.28,-0.08
16132,19860819,-0.55,-0.99,-0.79,0.22,-0.46,-0.49,-0.09,0.05,-0.03,-0.19
16133,19860820,2.67,1.46,1.35,1.39,0.94,0.65,1.01,1.36,0.94,0.92
16134,19860821,0.32,-0.12,-0.21,-0.3,0.3,0.15,0.17,-0.06,-0.11,-0.07
16135,19860822,0.43,0.31,0.71,0.35,0.47,0.46,0.14,-0.09,-0.25,-0.17
16136,19860825,-0.4,-0.35,-0.29,-0.29,-0.44,-0.85,-0.91,-0.92,-1.14,-1.3
16137,19860826,2.19,1.86,2.19,1.84,1.98,1.16,1.69,1.27,1.35,1.22
16138,19860827,0.72,0.97,0.82,0.31,0.65,-0.06,-0.15,-0.01,-0.18,-0.02
16139,19860828,-0.13,-0.34,-0.07,-0.37,0.33,0.01,0.01,-0.18,-0.09,0
16140,19860829,0.28,0.04,0.15,-0.37,0.26,0.04,-0.23,0.16,0.3,0.14
16141,19860902,-0.69,-0.54,-1.11,-1.56,-1.48,-1.17,-1.16,-1.5,-1.45,-2.06
16142,19860903,0.56,0.84,0.96,0.54,0.81,0.37,0.32,-0.04,0.03,-0.19
16143,19860904,2.88,2.22,2.23,1.76,1.51,1.58,0.89,0.9,0.47,0.98
16144,19860905,0.14,-0.36,-0.68,-0.28,-0.85,-0.98,-1.35,-1.6,-2.17,-1.93
16145,19860908,-1.05,-0.82,-0.59,0.26,-0.62,-0.85,-1.17,-1.39,-1.57,-2.28
16146,19860909,-0.85,-0.38,-0.16,-0.03,-0.23,-0.34,-0.34,-0.44,-0.12,-0.15
16147,19860910,-0.21,-0.14,-0.03,-0.22,-0.21,-0.38,-0.38,-0.46,-0.75,-0.8
16148,19860911,-3.55,-3.88,-3.9,-3.48,-4.29,-4.47,-4.37,-4.47,-5,-5
16149,19860912,-1.57,-1.07,-1.52,-2.14,-1.91,-1.71,-1.75,-2.16,-1.77,-2.17
16150,19860915,0.03,0.15,0.15,0.12,0.62,0.48,0.13,0.36,0.26,0.28
16151,19860916,-0.65,-0.32,0.3,0.16,-0.03,-0.3,-0.35,-0.21,-0.1,-0.39
16152,19860917,1.07,0.36,-0.15,0.33,0.06,0.15,0.07,0.76,0.37,0.69
16153,19860918,1,0.29,0.16,0.35,-0.02,0.22,0.41,-0.3,-0.08,0.61
16154,19860919,1.63,0.52,0.54,-0.37,0.54,-0.52,-0.03,-0.42,-0.02,-0.05
16155,19860922,0.9,0.41,0.76,0.81,1.1,0.85,1.07,1.22,1.64,1.19
16156,19860923,-0.89,-0.04,0.34,0.29,0.27,0.33,0.46,0.55,0.74,1.04
16157,19860924,-0.24,-0.09,0.57,-0.31,0.3,0.27,0.72,0.6,0.42,1
16158,19860925,-0.66,-1.05,-1.24,-1.18,-1.61,-1.58,-1.45,-1.85,-1.69,-1.74
16159,19860926,0.38,0.52,0.63,-0.16,0.39,0,0,-0.07,-0.01,-0.09
16160,19860929,-0.6,-0.85,-0.74,-1.04,-0.59,-0.85,-1.09,-1.23,-1.15,-0.99
16161,19860930,1.17,0.76,0.78,0.43,0.64,0.72,0.57,0.96,0.27,0.91
16162,19861001,0.98,0.59,0.06,0.97,1.01,0.89,0.7,0.83,1.05,1.36
16163,19861002,0.03,0.11,-0.1,0.06,-0.06,-0.3,0.07,0.41,0.33,0.57
16164,19861003,0.47,0.39,-0.81,0.09,-0.03,-0.12,-0.09,-0.24,0.27,0.05
16165,19861006,-0.21,0.42,0.89,0.43,0.22,0.19,-0.01,0.55,0.34,0.48
16166,19861007,0.54,0.54,0.11,-1.29,0.27,-0.2,0.03,-0.1,-0.49,0.08
16167,19861008,0.69,1.15,0.77,0.5,0.95,1.18,0.5,1,0.5,0.69
16168,19861009,-0.35,-0.31,-0.59,-1.48,0.18,-0.17,-0.15,-0.16,0.09,-0.04
16169,19861010,-0.13,-0.04,-0.05,0.37,-0.39,0.01,-0.03,-0.03,-0.34,-0.16
16170,19861013,0.23,-0.31,0.31,-0.31,0.41,0.21,0.29,0.17,0.02,0.34
16171,19861014,-0.7,-1.02,-0.5,-0.49,-0.13,-0.1,-0.13,0.02,-0.12,0.25
16172,19861015,0.49,1.12,0.63,1.75,1.25,1.28,1.34,1.35,1.25,1.03
16173,19861016,-0.14,-0.02,0.13,-0.49,0.33,0.56,0.55,0.62,0.37,0.37
16174,19861017,-0.52,-0.25,-0.37,-0.18,-0.38,-0.3,-0.16,-0.26,-0.26,-0.23
16175,19861020,-0.9,-0.56,-0.82,-1.08,-0.9,-1.02,-1.31,-0.81,-1.28,-0.61
16176,19861021,0.05,0.24,-0.14,0.48,0.02,0.04,-0.03,-0.21,-0.25,-0.24
16177,19861022,-0.55,0.13,0.15,-0.2,0.12,0.37,0.28,0.15,-0.02,0.46
16178,19861023,0.66,0.51,0.39,1.07,1.26,0.86,1.28,1.31,1.2,1.68
16179,19861024,0.18,-0.26,-0.02,-0.34,-0.53,-0.06,-0.41,-0.13,-0.4,-0.17
16180,19861027,-0.43,-0.07,0.34,0.38,0.01,0.48,0.31,0.24,0.18,0.25
16181,19861028,-0.11,0.44,-0.4,0.16,0.14,0.31,0.34,0.17,0.57,0.31
16182,19861029,1.09,0.23,0.36,0.63,0.75,0.35,0.72,0.83,1.04,0.57
16183,19861030,0.18,1.07,1.33,1.06,0.96,1.35,0.82,0.85,1.03,0.92
16184,19861031,0.57,0.6,0.76,0.04,0.04,0.14,-0.26,-0.02,0.02,-0.47
16185,19861103,0.1,-0.01,1.27,0.46,0.61,0.74,0.71,0.59,0.65,0.56
16186,19861104,0.8,0.06,0.08,0.49,0.59,0.01,0.21,0.29,0.27,-0.13
16187,19861105,0.82,0.32,0.04,0.22,0.4,0.61,0.12,0.29,0.06,0.06
16188,19861106,0.37,-0.3,-0.69,-0.2,-0.41,-0.04,-0.11,-0.16,-0.18,-0.32
16189,19861107,0.09,0.24,0.14,-0.31,0.25,-0.07,0.01,-0.13,0.28,-0.29
16190,19861110,-0.37,0.6,0.03,0.24,0.16,-0.06,-0.02,-0.03,0.22,-0.06
16191,19861111,0.49,0.6,0.54,0.24,0.4,0.35,0.39,0.21,0.33,0.02
16192,19861112,0.31,-0.42,-0.82,-0.17,-0.11,-0.14,-0.09,-0.26,0,-0.19
16193,19861113,-1.12,-1.69,-1.06,-0.91,-1.09,-1.43,-1.02,-1.29,-1.33,-1.52
16194,19861114,0.27,1.03,0.75,0.51,0.56,0.32,0.55,0.23,0.35,0.31
16195,19861117,-0.85,-0.47,-0.88,-0.03,-0.39,-0.55,-0.47,-0.61,-0.65,-0.65
16196,19861118,-2.14,-1.76,-2.29,-2.2,-2.14,-2.25,-2.17,-2.51,-2.53,-2.36
16197,19861119,-0.71,0.46,0.18,0.3,0.02,-0.1,-0.26,-0.12,0.33,-0.51
16198,19861120,1.46,0.91,1.45,1.93,1.55,1.7,1.77,1.63,1.49,2.03
16199,19861121,0.81,0.75,1.02,0.83,1.14,1.6,1.51,1.63,1.43,1.64
16200,19861124,0.05,0.59,0.34,0.51,0.79,0.64,0.58,0.64,0.52,0.57
16201,19861125,0.04,0.78,0.41,0,0.39,-0.25,0.3,0.13,0.64,0.5
16202,19861126,-0.06,-0.37,-0.1,0.26,0.29,0.16,0.26,0.11,0.04,0.75
16203,19861128,0.75,0.62,0.22,0.03,0.35,0.09,-0.01,0.23,0.3,0.03
16204,19861201,-0.24,0.18,-0.13,-0.11,0.07,-0.03,-0.09,-0.38,-0.08,-0.21
16205,19861202,0.47,1.55,1.45,1.55,1.89,1.79,1.95,2.06,1.76,1.85
16206,19861203,0,-0.41,0.19,0.09,-0.06,0.57,-0.2,0.16,0.36,0.13
16207,19861204,0.35,-0.47,0.08,-0.19,-0.09,-0.21,-0.09,-0.23,-0.09,-0.24
16208,19861205,-0.22,-0.65,-0.73,-0.63,-0.72,-0.66,-0.87,-0.53,-0.86,-0.61
16209,19861208,-1.14,0.11,-0.41,-0.09,0.09,-0.14,0.05,-0.01,0.3,-0.47
16210,19861209,-0.9,-0.8,-0.99,-0.76,-0.67,-0.59,-0.58,-0.55,-0.51,-0.56
16211,19861210,0.06,0.49,0.32,0.76,0.5,0.68,0.68,0.53,0.12,0.64
16212,19861211,-0.8,-0.51,-1.12,-0.84,-0.95,-1.21,-0.88,-1.08,-1.01,-0.6
16213,19861212,-0.68,-0.74,-0.45,-0.49,-0.31,-0.33,-0.5,0.08,-0.54,-0.75
16214,19861215,-0.26,0.56,0.16,0.54,-0.01,0,0.15,0.16,0.05,-0.45
16215,19861216,0.06,0.32,0.73,0.35,0.77,0.54,0.94,0.77,0.85,0.4
16216,19861217,-0.99,-1.04,-0.78,-0.8,-0.86,-0.77,-0.81,-0.98,-0.59,-0.57
16217,19861218,-0.25,-0.53,-0.21,-0.87,-0.12,-0.35,-0.27,-0.24,-0.37,-0.23
16218,19861219,0.94,0.41,0.92,0.67,0.79,1.23,0.71,0.97,1.16,0.75
16219,19861222,-0.26,-0.74,-0.23,0.02,-0.26,-0.57,-0.25,-0.21,-0.42,-0.38
16220,19861223,-0.76,-1.55,-1.1,-0.97,-0.61,-1.27,-0.82,-0.81,-1.01,-1.11
16221,19861224,0.77,0.82,0.3,0.13,0.26,0.37,0.24,0.23,0.21,0.68
16222,19861226,0.4,-0.02,0.2,0.07,-0.02,0.26,0.1,0.03,0.12,0.37
16223,19861229,-1.44,-0.96,-0.83,-0.92,-0.81,-0.78,-0.78,-1.03,-0.99,-0.73
16224,19861230,-0.43,-0.26,-0.67,-0.68,-0.53,-0.51,-0.67,-0.51,-0.46,-0.51
16225,19861231,0.35,-0.2,-0.04,-0.06,-0.24,-0.56,-0.21,-0.89,-0.35,-0.2
16226,19870102,2.49,1.74,1.91,1.48,1.8,1.74,1.8,1.97,1.98,1.74
16227,19870105,2.53,1.75,2.82,2.35,2.5,2.4,2.62,2.41,2.64,2.71
16228,19870106,0.39,-0.05,0.36,0.36,0.52,0.68,0.49,0.27,0.27,0.83
16229,19870107,2.06,0.84,1.22,1.08,1.17,1,1.02,0.92,1.23,1.41
16230,19870108,1.38,0.29,1.36,1.07,0.97,0.87,0.86,0.6,0.63,0.91
16231,19870109,1.28,0.73,1.01,0.29,0.31,0.83,0.67,0.48,0.36,0.61
16232,19870112,1.56,0.17,1.27,0.82,0.71,0.64,0.48,0.82,0.37,0.99
16233,19870113,0.48,-1.14,-0.33,-0.05,-0.11,-0.29,0.07,0.11,0.06,0.15
16234,19870114,1.7,1.86,0.88,0.92,0.73,0.79,0.64,0.66,1.14,0.85
16235,19870115,1.14,1.18,0.75,0.66,0.73,1.23,1.05,0.92,0.84,0.79
16236,19870116,-0.78,-0.32,-0.59,-0.38,-0.33,0.16,0.01,0.33,0.24,0.34
16237,19870119,0.51,2.03,0.84,1.06,0.48,0.64,1.03,0.93,0.98,1.15
16238,19870120,-0.57,-1.24,-0.69,0.28,-0.26,-0.04,0.02,0.19,-0.12,0.22
16239,19870121,-1.58,-0.54,-0.68,-0.63,-0.24,-0.42,-0.59,-0.4,-0.35,-0.45
16240,19870122,1.22,2.1,1.09,1.35,1.41,1.24,2.11,2.08,2.29,2.36
16241,19870123,-1.05,-1.16,-1.01,-1.02,-1.28,-0.96,-0.82,-1.22,-1.42,-1.12
16242,19870126,-0.81,-0.15,-0.45,-0.54,-0.56,-0.49,-0.57,-0.39,-0.08,-0.05
16243,19870127,1.05,1.46,1.15,1.21,0.93,0.64,1.28,1.69,1.48,1.67
16244,19870128,0.33,0.37,0.42,0.23,0.37,0.73,0.46,0.62,0.62,1.05
16245,19870129,-0.46,-0.64,0.3,-0.14,-0.14,-0.05,-0.49,-0.66,-0.9,0.24
16246,19870130,0.74,0.15,-0.17,-0.02,0.02,0.24,-0.25,0.14,-0.19,0.07
16247,19870202,1.97,1.98,1.08,0.67,1.21,0.74,0.54,0.49,1.01,1.21
16248,19870203,1.27,0.76,-0.45,0.08,0.2,0,-0.56,0.12,-0.38,0.03
16249,19870204,1.57,1.56,1.49,1.31,1.12,1.55,1.24,1.02,1.45,0.71
16250,19870205,1.34,1.51,1.15,1.02,0.53,0.81,0.68,0.18,0.47,0.57
16251,19870206,0.35,-0.09,-0.26,-0.06,-0.03,-0.09,-0.49,-0.18,-0.35,-0.26
16252,19870209,-1.07,-0.44,-0.26,-0.52,-0.43,-0.68,-0.3,-0.79,-0.78,-0.58
16253,19870210,-0.5,-0.91,-0.88,-0.85,-0.51,-0.91,-1.18,-1.15,-1.15,-1.09
16254,19870211,1.01,1.33,1.21,0.71,0.93,0.63,0.81,0.94,0.95,0.68
16255,19870212,-0.71,-0.18,-0.48,-0.45,-0.02,0.07,-0.84,-0.84,-0.3,-0.56
16256,19870213,1.17,1.09,1.03,1.16,1.4,1.07,1.73,0.94,1.46,1.39
16257,19870217,1.95,1.6,1.69,1.42,1.48,1.39,1.33,1.49,1.88,2.58
16258,19870218,-0.33,0.04,-0.11,0.5,0.21,0.38,-0.23,0,0.23,-0.33
16259,19870219,0.37,0.19,0.53,1.06,0.44,-0.02,0.04,0.04,0.15,-0.4
16260,19870220,0.38,0.13,-0.35,0.28,0.35,-0.1,0.17,0.08,-0.21,-0.36
16261,19870223,-1.09,0.61,-0.62,-0.91,-0.99,-1.13,-1.01,-0.84,-1.13,-0.9
16262,19870224,0.16,-0.02,0.26,0.39,0.46,0.4,0.15,0.17,-0.14,0.33
16263,19870225,0.19,0.01,0.46,0.51,0.54,0.53,0.31,0.23,0.36,0.89
16264,19870226,0.03,-0.95,-0.51,-0.11,0.1,0.04,-0.27,-0.34,-0.09,-0.29
16265,19870227,0.95,0.31,0.5,0.35,0.66,0.19,0.25,0.39,0.51,0.27
16266,19870302,-0.31,-0.21,-0.09,-0.17,0.23,-0.55,-0.22,-0.45,-0.24,-0.02
16267,19870303,-0.06,-0.03,0.2,-0.04,-0.18,0.09,0,0.28,0.3,0.85
16268,19870304,0.58,0.86,0.87,1.29,0.92,0.96,1.41,1.01,1.45,1.98
16269,19870305,0.47,-0.08,0.29,0.32,0.57,0.52,0.82,0.68,0.85,0.78
16270,19870306,-0.33,-0.06,-0.37,0.13,-0.12,-0.06,-0.22,-0.31,0.68,0.13
16271,19870309,-0.54,-0.3,-0.41,-0.74,-0.45,-0.62,-0.71,-0.56,-0.84,-0.83
16272,19870310,0.99,0.7,1.13,0.69,0.73,0.73,0.73,0.42,1,1.05
16273,19870311,-0.31,-0.18,-0.19,-0.21,0.13,-0.14,0.05,-0.05,-0.22,0.12
16274,19870312,0.91,-0.14,0.64,0.32,0.48,0.41,0.09,0.14,0.34,0.06
16275,19870313,-0.21,-0.12,-0.01,-0.18,-0.65,-0.11,-0.39,-0.2,-0.47,-0.88
16276,19870316,-0.57,-0.27,-0.59,-0.58,-0.56,-0.7,-0.82,-0.47,-0.61,-0.57
16277,19870317,0.78,0.94,0.96,0.84,0.83,0.83,0.87,1.83,1.47,1.74
16278,19870318,0.15,-0.18,-0.13,0.02,0.32,-0.16,-0.22,-0.01,0.47,0.28
16279,19870319,0.39,0.12,0.39,0.33,0.38,0.49,0.3,1.03,0.44,0.37
16280,19870320,0.95,0.66,0.92,1.14,0.69,1.16,1.14,1.22,1.27,1.35
16281,19870323,0.44,0.14,0.34,0.07,1,0.54,0.46,1.08,0.82,1.13
16282,19870324,-0.44,-0.19,0.11,0.88,-0.07,0.27,0.06,0.15,0.11,-0.13
16283,19870325,0.03,-0.16,0.58,-0.24,-0.27,-0.17,-0.4,-0.37,-0.31,-0.57
16284,19870326,0.15,0.1,-0.2,-0.17,-0.06,-0.01,0.3,0.77,0.46,0.14
16285,19870327,-0.6,-0.79,-1.54,-1.22,-1.08,-1.14,-1.26,-1.51,-1.59,-1.45
16286,19870330,-1.59,-1.73,-1.05,-2.08,-2.59,-2.21,-2.17,-2.49,-2.63,-2.71
16287,19870331,1,0.48,-0.06,0.82,0.45,0.75,0.62,0.77,0.79,1.28
16288,19870401,-0.44,0.11,0.11,-0.03,-0.32,-0.08,-0.27,0.28,0.8,0.09
16289,19870402,0.63,0.46,-0.43,0.21,0.31,0.13,0.09,0.76,0.64,1.08
16290,19870403,1.35,1.21,1.34,1.68,1.65,1.9,2.07,1.92,2.52,2.46
16291,19870406,0.15,0.04,0.26,0.22,0.28,0.08,0.19,0.36,0.84,0.85
16292,19870407,-1.61,-0.91,-1.01,-1.14,-1.35,-1.58,-1.49,-1.47,-1.67,-1.48
16293,19870408,0.39,0.12,0.5,-0.08,0.23,-0.24,0.15,0.05,0.21,-0.11
16294,19870409,-1.19,-1.35,-1.55,-1.09,-1.17,-1.51,-1.3,-1.33,-1.71,-0.93
16295,19870410,-0.13,0,0.43,-0.57,-0.7,-0.6,-0.61,-0.61,0.04,0.21
16296,19870413,-1.95,-1.97,-0.68,-1.79,-2.48,-2.18,-2.1,-2.66,-2.26,-2.11
16297,19870414,-2.72,-2.18,-1.21,-2.43,-2.7,-2.76,-2.82,-3.03,-2.32,-2.49
16298,19870415,1.66,1.13,1.5,1.19,1.57,1.77,1.79,1.88,2.23,1.23
16299,19870416,0.44,0.79,0.29,0.79,1.8,1.65,0.91,0.74,1.34,0.44
16300,19870420,-0.54,-0.27,-0.34,-0.3,0.11,0.01,-0.39,-0.23,-0.6,-0.5
16301,19870421,0.83,0.56,2.39,1.05,1.05,1.56,1.91,2.42,2.01,2.22
16302,19870422,-1.35,-0.92,-1.26,-1.48,-1.14,-2.09,-1.84,-1.4,-1.48,-1.2
16303,19870423,-0.32,0.33,-0.04,-0.44,0.04,-0.13,-0.46,-0.35,-0.35,0.07
16304,19870424,-1.4,-1.03,-1.17,-1.33,-1.18,-1.75,-1.95,-1.65,-1.74,-2
16305,19870427,-0.38,-0.21,0.46,-0.13,0,0.22,0.15,-0.3,-0.76,-0.37
16306,19870428,0.47,0.33,0.53,0.11,0.46,0.44,0.28,0.71,0.34,0.57
16307,19870429,0.26,0.53,0.89,0.49,0.56,0.37,0.7,0.41,0.88,1.11
16308,19870430,0.62,0.91,0.59,1.53,1.31,1.42,1.07,1.08,1.45,1.2
16309,19870501,0.04,0.18,0.13,0.03,-0.35,-0.26,-0.35,-0.32,-0.57,0.59
16310,19870504,-0.12,0.16,0.8,0.14,0.24,0.35,0.62,0.12,0.57,0.12
16311,19870505,1.2,1.54,1.73,1.09,1.38,1.55,1.93,1.83,2.48,1.95
16312,19870506,-0.25,-0.26,0,-0.03,0.41,-0.5,-0.29,-0.34,0.79,0.02
16313,19870507,0.54,-0.18,-0.09,-0.21,-0.34,-0.23,-0.26,-0.24,-0.07,-0.07
16314,19870508,-0.09,-0.26,-0.43,-0.02,-0.62,-0.48,0.09,-0.44,-0.51,-0.11
16315,19870511,-0.3,-0.1,-0.11,0.23,-0.28,-0.36,-0.89,-0.71,-0.31,-0.94
16316,19870512,0.06,0,0.6,0.4,0,0.27,0.24,0.6,0.49,-0.06
16317,19870513,0.28,-0.09,-0.1,0.17,-0.24,0.22,0.25,0.48,0.23,0.6
16318,19870514,0.38,-0.06,-0.12,0.03,-0.06,0.08,0.06,0.08,0.29,-0.05
16319,19870515,-1.34,-1.65,-1.31,-1.51,-1.89,-2.12,-2.14,-2.1,-2.34,-2.08
16320,19870518,-1.15,-0.49,-0.91,-0.4,-0.51,-0.48,-0.55,-0.68,-0.69,-0.6
16321,19870519,-1.16,-1.48,-1.51,-1.93,-1.98,-2.5,-2.02,-2.08,-2.24,-2.25
16322,19870520,-0.14,-0.35,-0.66,-0.6,-0.84,-0.44,-0.39,-0.54,-0.48,-0.47
16323,19870521,1.09,1.14,0.42,0.79,0.73,0.95,0.77,0.65,0.47,0.55
16324,19870522,-0.13,0.14,0.45,0.31,0.34,1.01,0.88,0.41,0.45,0.15
16325,19870526,2.1,1.82,1.78,2.39,2.59,2.29,2.43,2.38,2.69,1.51
16326,19870527,0.23,0.66,0.33,0.07,0.28,0.15,-0.03,0.08,-0.24,-0.04
16327,19870528,0.43,0.4,0.28,0.29,0.65,0.53,0.8,0.53,0.78,0.68
16328,19870529,0.4,-0.04,0.13,0.24,0.32,-0.51,0.23,-0.22,-0.13,-0.05
16329,19870601,0.11,0.13,0.28,0.61,0.04,0.1,-0.21,-0.1,-0.28,-0.15
16330,19870602,0,0.05,-0.48,-0.56,-0.56,-0.73,-0.76,-0.03,-0.42,-0.5
16331,19870603,0.76,1.19,1.07,1.11,1.55,1.67,1.39,1.73,1.06,1.41
16332,19870604,0.3,0.59,0.61,0.62,0.36,0.7,0.76,0.36,0.83,0.29
16333,19870605,-0.24,-0.54,0.04,0.05,-0.18,-0.41,-0.4,-0.25,-0.67,-0.23
16334,19870608,0.34,0.71,0.86,0.6,1.27,1.06,1.19,1.35,0.66,0.65
16335,19870609,0.44,0.12,0.06,-0.12,-0.04,0.19,0.44,0.17,0.46,0.31
16336,19870610,0.54,0.24,0.34,0.48,0.46,0,-0.01,0.14,0.22,-0.21
16337,19870611,0.4,0.4,1,0.39,0.75,0.15,0.36,0.25,0.21,0.17
16338,19870612,0.87,0.99,1.2,1.36,0.88,1.13,0.51,1.27,0.81,0.49
16339,19870615,0.37,0.31,0.7,0.54,0.6,0.68,0.47,0.56,0.23,0.02
16340,19870616,0.28,0.67,0.65,0.5,0.53,0.82,0.43,0.05,0.49,0.45
16341,19870617,0.05,-0.03,0.04,-0.05,-0.13,0.31,-0.12,0.08,0.33,0.29
16342,19870618,0.49,0.33,0.45,0.19,0.48,0.04,0.23,0.41,-0.12,0.1
16343,19870619,0,0.28,0.51,0.4,0.06,0.44,0.3,0.19,0.45,0.22
16344,19870622,-0.06,-0.02,0.44,0.66,0.33,0.7,1.16,1.21,0.82,0.56
16345,19870623,-0.75,-0.55,-0.5,-0.3,-0.27,0.03,-0.36,-0.33,-0.29,-0.24
16346,19870624,-0.15,-0.31,-0.53,-0.52,-0.54,-0.78,-0.27,-0.47,-0.23,-0.3
16347,19870625,0.17,0.19,0.77,0.71,0.56,0.86,0.55,0.69,0.65,0.31
16348,19870626,-0.3,-0.27,-0.5,-0.32,-0.66,-0.54,-0.56,-0.61,-0.54,0.01
16349,19870629,-0.27,-0.31,0.14,0.02,-0.05,-0.32,0.04,0.16,0.45,0.52
16350,19870630,-0.37,-0.42,-1.08,-1.07,-1.24,-1.32,-1.26,-1.18,-0.99,-0.73
16351,19870701,-0.22,-0.06,-0.09,-0.24,-0.11,0.03,-0.44,-0.52,-0.42,-0.17
16352,19870702,0.38,0.38,0.35,0.38,0.39,0.67,0.73,0.63,0.89,0.99
16353,19870706,0,-0.28,-0.31,-0.51,-0.55,-0.14,-0.36,0.02,0.16,-0.17
16354,19870707,0.21,0.11,0.57,0.32,0.46,0.27,1.01,0.76,0.89,0.97
16355,19870708,0.4,0.13,-0.07,-0.21,0.26,0.62,0.37,0.29,0.25,0.48
16356,19870709,0.15,0,-0.22,-0.25,-0.13,-0.16,-0.41,0.11,-0.22,0.17
16357,19870710,0.14,0,0.21,0.56,0.43,0.55,0.15,0.27,-0.14,0.08
16358,19870713,-0.11,-0.24,-0.36,-0.47,-0.4,0.3,-0.25,-0.36,-0.44,0.5
16359,19870714,0.61,0.39,0.45,0.73,1.02,0.45,0.82,1.4,1.21,1.54
16360,19870715,-0.08,-0.21,-0.22,-0.28,-0.21,-0.27,-0.1,0.38,-0.09,0.4
16361,19870716,0.39,0.36,0.12,0.41,0.83,0.29,0.76,0.49,0.81,0.77
16362,19870717,0.33,0.36,0.56,0.83,0.95,0.3,0.82,0.27,0.22,0.38
16363,19870720,-0.78,-0.54,-0.74,-0.91,-0.71,-1.06,-0.9,-0.87,-0.65,-0.8
16364,19870721,-0.43,-0.61,-0.52,-0.8,-1.09,-0.6,-0.81,-0.52,-0.91,-1.14
16365,19870722,-0.3,-0.29,-0.17,0.03,0.37,0.13,0.11,0.12,-0.27,-0.7
16366,19870723,-0.5,-0.2,-0.18,-0.09,-0.07,-0.01,-0.31,-0.24,-0.07,-1.04
16367,19870724,0.11,0.01,0.28,0.66,0.41,0.41,0.63,0.13,0.36,0.37
16368,19870727,-0.14,0.29,0.48,0.38,0.66,0.69,0.46,0.72,0.19,0.07
16369,19870728,1.32,0.18,0.38,0.41,0.34,0.91,-0.01,0.25,0.78,0.51
16370,19870729,0.37,0.31,1.03,0.51,1.19,1.16,1,1.13,0.81,1.05
16371,19870730,0.22,0.22,0.28,0.99,0.54,0.56,1.25,1.09,0.85,0.66
16372,19870731,0.39,0.02,0.25,0.06,-0.12,0.01,0.33,0.65,0.34,0.31
16373,19870803,-0.55,-0.4,-0.58,-0.63,-0.69,-0.92,-0.86,0.48,-0.05,0.35
16374,19870804,-0.07,0.11,-0.22,-0.21,-0.23,-0.14,-0.32,-0.78,-0.56,0.14
16375,19870805,0.72,0.81,0.97,0.99,1.01,0.96,0.95,0.51,0.5,0.06
16376,19870806,0.81,0.84,1.09,1.08,0.97,1.36,1.38,0.93,1.27,0.89
16377,19870807,0.34,0.65,0.81,0.34,0.06,0.49,0.47,0.47,0.32,0.3
16378,19870810,0.81,1.46,1.21,1.18,1.32,1.51,1.09,1.65,1.51,1.38
16379,19870811,0.87,1.06,1.42,1.9,1.34,1.17,1.5,1.76,1.49,0.76
16380,19870812,0.17,0.07,0.28,-0.13,0,-0.21,-0.19,-0.5,-0.53,-0.37
16381,19870813,0.98,1.26,1.29,0.82,0.75,0.78,1.07,0.24,0.11,-0.11
16382,19870814,-0.13,0.44,0.21,0.22,-0.23,0.03,-0.35,-0.22,0.01,-0.53
16383,19870817,0.07,0.24,0.52,0.17,0.16,0.26,-0.16,-0.24,0.13,0.11
16384,19870818,-1.24,-1.15,-1.03,-1.74,-1.65,-1.14,-1.41,-1.63,-1.3,-1.47
16385,19870819,0.36,0.16,-0.05,0.13,-0.12,-0.05,0.06,-0.02,0.34,0.5
16386,19870820,0.66,1.09,0.9,1.19,1.18,1.44,1.53,1.76,1.82,1.55
16387,19870821,-0.14,0.2,0.34,0.66,0.26,-0.08,0.65,0.03,0.45,0.46
16388,19870824,-0.25,-0.41,-0.52,-0.78,-0.28,-0.38,-0.77,-0.82,-0.64,-0.87
16389,19870825,0.43,0.7,1.04,0.62,0.29,1.07,1.48,0.81,0.9,0.86
16390,19870826,0.05,-0.52,-0.15,-0.23,-1.1,-0.59,-0.13,-0.06,-0.75,-0.39
